"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FAM3D",0,2.83058112000173,0.659,0.136,0,"1","FAM3D"
"MUC5B",0,4.53737255733743,0.697,0.191,0,"1","MUC5B"
"PTPRN2",0,2.10169854711813,0.664,0.212,0,"1","PTPRN2"
"MUC5AC",0,2.54048190299575,0.852,0.402,0,"1","MUC5AC"
"TFF1",0,2.34854332856634,0.774,0.34,0,"1","TFF1"
"F5",0,1.6854868634914,0.777,0.365,0,"1","F5"
"ADAP1",0,1.2525585352232,0.919,0.568,0,"1","ADAP1"
"TFF3",0,2.15147628221025,0.951,0.605,0,"1","TFF3"
"MUC6",0,2.84169621351481,0.95,0.63,0,"1","MUC6"
"ASCL2",0,1.33564465637783,0.927,0.674,0,"1","ASCL2"
"ALDH1A1",0,1.64845918606835,0.933,0.712,0,"1","ALDH1A1"
"UQCRH",0,0.990320735502914,0.985,0.822,0,"1","UQCRH"
"MUC2",0,1.5917834224493,0.992,0.857,0,"1","MUC2"
"PYGB",0,1.10021198777765,0.992,0.924,0,"1","PYGB"
"PLA2G2A",0,2.18620572784269,0.991,0.95,0,"1","PLA2G2A"
"LGALS3",4.12799284453716e-296,0.963020217385168,0.998,0.951,7.46547505934546e-292,"1","LGALS3"
"MT1E",1.98574509316057e-285,1.32535209706657,0.842,0.444,3.59122000098089e-281,"1","MT1E"
"AQP5",3.1843653633891e-284,1.72573536186761,0.685,0.281,5.75892475968919e-280,"1","AQP5"
"PPIA",4.28404192656915e-281,0.826974393206738,0.994,0.892,7.74768982420031e-277,"1","PPIA"
"C3orf67",9.60535277624636e-280,1.51060487139289,0.724,0.319,1.73712804958415e-275,"1","C3orf67"
"NOX1",1.48281821689385e-273,1.51854515302872,0.773,0.395,2.68167674525253e-269,"1","NOX1"
"SP5",3.5247094793964e-272,2.15684239320402,0.645,0.272,6.3744370934884e-268,"1","SP5"
"COLGALT2",1.3050606518023e-268,1.78004737100319,0.534,0.158,2.36020218878445e-264,"1","COLGALT2"
"NKD1",7.78734156510759e-262,2.36797045133679,0.427,0.098,1.40834072204971e-257,"1","NKD1"
"GSTP1",8.19801950594264e-257,0.585757422643614,0.999,0.967,1.48261182764973e-252,"1","GSTP1"
"CDHR1",6.17285678646187e-244,1.51134049079973,0.808,0.46,1.11636114983163e-239,"1","CDHR1"
"MT-CO2",3.38184143002041e-243,0.58942726059072,1,1,6.11606022619192e-239,"1","MT-CO2"
"CERS6",1.95135587245739e-240,0.805883599390465,0.975,0.796,3.52902709533918e-236,"1","CERS6"
"MT1G",4.41241057769935e-240,1.15167804096326,0.801,0.412,7.97984452976928e-236,"1","MT1G"
"SEC61B",2.51767941135032e-234,0.817382930728584,0.97,0.841,4.55322321542705e-230,"1","SEC61B"
"HIST1H1E",7.39380878901178e-227,0.748990873941857,0.993,0.897,1.33717031949278e-222,"1","HIST1H1E"
"MCTP1",1.3058643664194e-225,0.933343486812619,0.863,0.56,2.36165570666948e-221,"1","MCTP1"
"MT-ND4L",7.91211179690556e-223,0.554994347116459,1,1,1.43090541847037e-218,"1","MT-ND4L"
"ZFP36L2",9.40777029608563e-223,0.589380872445503,0.999,0.96,1.70139525804709e-218,"1","ZFP36L2"
"CTNNB1",8.98705727937937e-221,0.6719972612804,0.989,0.883,1.62530930897576e-216,"1","CTNNB1"
"UBB",2.57363752895037e-220,0.586431073562378,0.993,0.919,4.65442347110674e-216,"1","UBB"
"CD46",2.75001725383008e-218,0.615786314211614,0.995,0.924,4.9734062035517e-214,"1","CD46"
"ATP5PF",8.86232733307944e-217,0.798021027214657,0.945,0.727,1.60275189818742e-212,"1","ATP5PF"
"HIST1H2BB",5.91211044440457e-216,1.05547255337536,0.921,0.662,1.06920517387057e-211,"1","HIST1H2BB"
"STARD10",6.71076930755151e-216,0.71249342848828,0.982,0.841,1.21364262927069e-211,"1","STARD10"
"UTP20",7.97119851330594e-216,0.897581390106118,0.939,0.709,1.44159125113138e-211,"1","UTP20"
"NUCB2",8.15981567615393e-213,0.707079160920615,0.981,0.859,1.47570266503244e-208,"1","NUCB2"
"ENTPD6",1.12800249837038e-210,0.670873479925302,0.976,0.835,2.03999251830282e-206,"1","ENTPD6"
"TESC",1.70150638358108e-210,2.14010546794729,0.631,0.279,3.07717429470638e-206,"1","TESC"
"GAD1",5.87234621571795e-209,1.9192473757646,0.54,0.211,1.06201381311259e-204,"1","GAD1"
"P4HB",1.36571845404975e-208,0.565177964545852,0.993,0.927,2.46990182414897e-204,"1","P4HB"
"HIST1H4C",1.00444985609148e-207,0.776965812197282,0.989,0.854,1.81654756474145e-203,"1","HIST1H4C"
"ALCAM",7.94367964323132e-204,0.613291710788509,0.982,0.864,1.43661446347838e-199,"1","ALCAM"
"PLAC8",2.93095180508089e-203,1.84854624837302,0.62,0.276,5.30062633948878e-199,"1","PLAC8"
"WNK2",3.81747632996128e-202,1.19733349630138,0.854,0.545,6.90390594273498e-198,"1","WNK2"
"ALDH4A1",2.88074419350315e-200,1.222942197479,0.712,0.366,5.20982587395045e-196,"1","ALDH4A1"
